gene,MitoPathways,Symbol,GeneSymbol,Gene Symbol,Pathways
HADHA,Metabolism > Lipid metabolism > Fatty acid oxidation | Metabolism > Lipid metabolism > Cardiolipin synthesis | Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism,HADHA,HADHA,HADHA,Metabolism > Lipid metabolism > Fatty acid oxidation | Metabolism > Lipid metabolism > Cardiolipin synthesis | Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism
ETFA,"Metabolism > Lipid metabolism > Fatty acid oxidation | Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism | Metabolism > Amino acid metabolism > Lysine metabolism | Metabolism > Amino acid metabolism > Glycine metabolism | Metabolism > Vitamin metabolism > Choline and betaine metabolism | Metabolism > Electron carriers > Q-linked reactions, other",ETFA,ETFA,ETFA,"Metabolism > Lipid metabolism > Fatty acid oxidation | Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism | Metabolism > Amino acid metabolism > Lysine metabolism | Metabolism > Amino acid metabolism > Glycine metabolism | Metabolism > Vitamin metabolism > Choline and betaine metabolism | Metabolism > Electron carriers > Q-linked reactions, other"
NDUFS7,OXPHOS > Complex I > CI subunits | Metabolism > Metals and cofactors > Fe-S-containing proteins | OXPHOS > OXPHOS subunits,NDUFS7,NDUFS7,NDUFS7,OXPHOS > Complex I > CI subunits | Metabolism > Metals and cofactors > Fe-S-containing proteins | OXPHOS > OXPHOS subunits
CPT2,Metabolism > Lipid metabolism > Fatty acid oxidation | Metabolism > Metals and cofactors > Carnitine synthesis and transport | Metabolism > Metals and cofactors > Carnitine shuttle,CPT2,CPT2,CPT2,Metabolism > Lipid metabolism > Fatty acid oxidation | Metabolism > Metals and cofactors > Carnitine synthesis and transport | Metabolism > Metals and cofactors > Carnitine shuttle
BCKDHB,Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism | Metabolism > Amino acid metabolism > Branched-chain amino acid dehydrogenase complex,BCKDHB,BCKDHB,BCKDHB,Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism | Metabolism > Amino acid metabolism > Branched-chain amino acid dehydrogenase complex
IDH3B,Metabolism > Carbohydrate metabolism > TCA cycle,IDH3B,IDH3B,IDH3B,Metabolism > Carbohydrate metabolism > TCA cycle
LARS2,Mitochondrial central dogma > Translation > mt-tRNA synthetases,LARS2,LARS2,LARS2,Mitochondrial central dogma > Translation > mt-tRNA synthetases
ACADS,Metabolism > Lipid metabolism > Fatty acid oxidation,ACADS,ACADS,ACADS,Metabolism > Lipid metabolism > Fatty acid oxidation
LETM1,Signaling > Calcium homeostasis > Calcium cycle,LETM1,LETM1,LETM1,Signaling > Calcium homeostasis > Calcium cycle
ATP5ME,OXPHOS > Complex V > CV subunits | OXPHOS > OXPHOS subunits | Mitochondrial dynamics and surveillance > Cristae formation,ATP5ME,ATP5ME,ATP5ME,OXPHOS > Complex V > CV subunits | OXPHOS > OXPHOS subunits | Mitochondrial dynamics and surveillance > Cristae formation
OPA1,Mitochondrial dynamics and surveillance > Fusion | Mitochondrial dynamics and surveillance > Cristae formation,OPA1,OPA1,OPA1,Mitochondrial dynamics and surveillance > Fusion | Mitochondrial dynamics and surveillance > Cristae formation
AUH,Metabolism > Carbohydrate metabolism > Itaconate metabolism | Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism,AUH,AUH,AUH,Metabolism > Carbohydrate metabolism > Itaconate metabolism | Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism
SUCLG1,Metabolism > Carbohydrate metabolism > TCA cycle | Metabolism > Carbohydrate metabolism > Itaconate metabolism | Metabolism > Nucleotide metabolism > Nucleotide synthesis and processing,SUCLG1,SUCLG1,SUCLG1,Metabolism > Carbohydrate metabolism > TCA cycle | Metabolism > Carbohydrate metabolism > Itaconate metabolism | Metabolism > Nucleotide metabolism > Nucleotide synthesis and processing
NDUFV2,OXPHOS > Complex I > CI subunits | Metabolism > Metals and cofactors > Fe-S-containing proteins | OXPHOS > OXPHOS subunits,NDUFV2,NDUFV2,NDUFV2,OXPHOS > Complex I > CI subunits | Metabolism > Metals and cofactors > Fe-S-containing proteins | OXPHOS > OXPHOS subunits
COQ6,Metabolism > Metals and cofactors > Coenzyme Q metabolism,COQ6,COQ6,COQ6,Metabolism > Metals and cofactors > Coenzyme Q metabolism
MRPL43,Mitochondrial central dogma > Translation > Mitochondrial ribosome,MRPL43,MRPL43,MRPL43,Mitochondrial central dogma > Translation > Mitochondrial ribosome
ABHD11,Metabolism > Carbohydrate metabolism > TCA-associated,ABHD11,ABHD11,ABHD11,Metabolism > Carbohydrate metabolism > TCA-associated
ATP5PF,OXPHOS > Complex V > CV subunits | OXPHOS > OXPHOS subunits,ATP5PF,ATP5PF,ATP5PF,OXPHOS > Complex V > CV subunits | OXPHOS > OXPHOS subunits
NDUFB8,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits,NDUFB8,NDUFB8,NDUFB8,OXPHOS > Complex I > CI subunits | OXPHOS > OXPHOS subunits
LONP1,"Protein import, sorting and homeostasis > Protein homeostasis > Proteases",LONP1,LONP1,LONP1,"Protein import, sorting and homeostasis > Protein homeostasis > Proteases"
DLD,Metabolism > Carbohydrate metabolism > Pyruvate metabolism | Metabolism > Carbohydrate metabolism > TCA cycle | Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism | Metabolism > Amino acid metabolism > Branched-chain amino acid dehydrogenase complex | Metabolism > Amino acid metabolism > Lysine metabolism | Metabolism > Amino acid metabolism > Glycine metabolism | Metabolism > Amino acid metabolism > Glycine cleavage system,DLD,DLD,DLD,Metabolism > Carbohydrate metabolism > Pyruvate metabolism | Metabolism > Carbohydrate metabolism > TCA cycle | Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism | Metabolism > Amino acid metabolism > Branched-chain amino acid dehydrogenase complex | Metabolism > Amino acid metabolism > Lysine metabolism | Metabolism > Amino acid metabolism > Glycine metabolism | Metabolism > Amino acid metabolism > Glycine cleavage system
AIFM1,"Protein import, sorting and homeostasis > Protein import and sorting > MIA40 | OXPHOS > Complex I > CI assembly factors | OXPHOS > OXPHOS assembly factors | Mitochondrial dynamics and surveillance > Apoptosis",AIFM1,AIFM1,AIFM1,"Protein import, sorting and homeostasis > Protein import and sorting > MIA40 | OXPHOS > Complex I > CI assembly factors | OXPHOS > OXPHOS assembly factors | Mitochondrial dynamics and surveillance > Apoptosis"
ECHDC3,0,ECHDC3,ECHDC3,ECHDC3,0
APOOL,Mitochondrial dynamics and surveillance > Cristae formation > MICOS complex,APOOL,APOOL,APOOL,Mitochondrial dynamics and surveillance > Cristae formation > MICOS complex
MRPL10,Mitochondrial central dogma > Translation > Mitochondrial ribosome,MRPL10,MRPL10,MRPL10,Mitochondrial central dogma > Translation > Mitochondrial ribosome
MRRF,Mitochondrial central dogma > Translation > Translation factors,MRRF,MRRF,MRRF,Mitochondrial central dogma > Translation > Translation factors
NDUFS8,OXPHOS > Complex I > CI subunits | Metabolism > Metals and cofactors > Fe-S-containing proteins | OXPHOS > OXPHOS subunits,NDUFS8,NDUFS8,NDUFS8,OXPHOS > Complex I > CI subunits | Metabolism > Metals and cofactors > Fe-S-containing proteins | OXPHOS > OXPHOS subunits
ACADM,Metabolism > Lipid metabolism > Fatty acid oxidation,ACADM,ACADM,ACADM,Metabolism > Lipid metabolism > Fatty acid oxidation
IMMT,Mitochondrial dynamics and surveillance > Cristae formation > MICOS complex,IMMT,IMMT,IMMT,Mitochondrial dynamics and surveillance > Cristae formation > MICOS complex
TIMM9,"Protein import, sorting and homeostasis > Protein homeostasis > Chaperones | Protein import, sorting and homeostasis > Protein import and sorting",TIMM9,TIMM9,TIMM9,"Protein import, sorting and homeostasis > Protein homeostasis > Chaperones | Protein import, sorting and homeostasis > Protein import and sorting"
SLC25A4,Metabolism > Nucleotide metabolism > Nucleotide import | Signaling > Calcium homeostasis > Mitochondrial permeability transition pore | Small molecule transport > SLC25A family,SLC25A4,SLC25A4,SLC25A4,Metabolism > Nucleotide metabolism > Nucleotide import | Signaling > Calcium homeostasis > Mitochondrial permeability transition pore | Small molecule transport > SLC25A family
SAMM50,"Protein import, sorting and homeostasis > Protein import and sorting > SAM | Mitochondrial dynamics and surveillance > Intramitochondrial membrane interactions",SAMM50,SAMM50,SAMM50,"Protein import, sorting and homeostasis > Protein import and sorting > SAM | Mitochondrial dynamics and surveillance > Intramitochondrial membrane interactions"
NDUFS2,OXPHOS > Complex I > CI subunits | Metabolism > Metals and cofactors > Fe-S-containing proteins | OXPHOS > OXPHOS subunits,NDUFS2,NDUFS2,NDUFS2,OXPHOS > Complex I > CI subunits | Metabolism > Metals and cofactors > Fe-S-containing proteins | OXPHOS > OXPHOS subunits
NDUFV1,OXPHOS > Complex I > CI subunits | Metabolism > Metals and cofactors > Fe-S-containing proteins | OXPHOS > OXPHOS subunits,NDUFV1,NDUFV1,NDUFV1,OXPHOS > Complex I > CI subunits | Metabolism > Metals and cofactors > Fe-S-containing proteins | OXPHOS > OXPHOS subunits
ACO2,Metabolism > Carbohydrate metabolism > TCA cycle | Metabolism > Metals and cofactors > Fe-S-containing proteins,ACO2,ACO2,ACO2,Metabolism > Carbohydrate metabolism > TCA cycle | Metabolism > Metals and cofactors > Fe-S-containing proteins
SUPV3L1,Mitochondrial central dogma > mtRNA metabolism > mtRNA granules | Mitochondrial central dogma > mtRNA metabolism > mtRNA stability and decay,SUPV3L1,SUPV3L1,SUPV3L1,Mitochondrial central dogma > mtRNA metabolism > mtRNA granules | Mitochondrial central dogma > mtRNA metabolism > mtRNA stability and decay
FECH,Metabolism > Metals and cofactors > Heme synthesis and processing | Metabolism > Metals and cofactors > Fe-S-containing proteins,FECH,FECH,FECH,Metabolism > Metals and cofactors > Heme synthesis and processing | Metabolism > Metals and cofactors > Fe-S-containing proteins
MTIF2,Mitochondrial central dogma > Translation > Translation factors,MTIF2,MTIF2,MTIF2,Mitochondrial central dogma > Translation > Translation factors
PHB,"Protein import, sorting and homeostasis > Protein homeostasis > Chaperones",PHB,PHB,PHB,"Protein import, sorting and homeostasis > Protein homeostasis > Chaperones"
HIBCH,Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism,HIBCH,HIBCH,HIBCH,Metabolism > Amino acid metabolism > Branched-chain amino acid metabolism
MRPS2,Mitochondrial central dogma > Translation > Mitochondrial ribosome,MRPS2,MRPS2,MRPS2,Mitochondrial central dogma > Translation > Mitochondrial ribosome
HSPA9,Metabolism > Metals and cofactors > Fe-S cluster biosynthesis,HSPA9,HSPA9,HSPA9,Metabolism > Metals and cofactors > Fe-S cluster biosynthesis
SURF1,OXPHOS > Complex IV > CIV assembly factors | OXPHOS > OXPHOS assembly factors,SURF1,SURF1,SURF1,OXPHOS > Complex IV > CIV assembly factors | OXPHOS > OXPHOS assembly factors
PRDX3,Metabolism > Detoxification > ROS and glutathione metabolism,PRDX3,PRDX3,PRDX3,Metabolism > Detoxification > ROS and glutathione metabolism
GHITM,Mitochondrial dynamics and surveillance > Apoptosis,GHITM,GHITM,GHITM,Mitochondrial dynamics and surveillance > Apoptosis
GUF1,Mitochondrial central dogma > Translation,GUF1,GUF1,GUF1,Mitochondrial central dogma > Translation
TIMM13,"Protein import, sorting and homeostasis > Protein homeostasis > Chaperones | Protein import, sorting and homeostasis > Protein import and sorting",TIMM13,TIMM13,TIMM13,"Protein import, sorting and homeostasis > Protein homeostasis > Chaperones | Protein import, sorting and homeostasis > Protein import and sorting"
LYRM4,Metabolism > Metals and cofactors > Fe-S cluster biosynthesis,LYRM4,LYRM4,LYRM4,Metabolism > Metals and cofactors > Fe-S cluster biosynthesis
MRPL16,Mitochondrial central dogma > Translation > Mitochondrial ribosome,MRPL16,MRPL16,MRPL16,Mitochondrial central dogma > Translation > Mitochondrial ribosome
MRPL40,Mitochondrial central dogma > Translation > Mitochondrial ribosome,MRPL40,MRPL40,MRPL40,Mitochondrial central dogma > Translation > Mitochondrial ribosome
IDH3G,Metabolism > Carbohydrate metabolism > TCA cycle,IDH3G,IDH3G,IDH3G,Metabolism > Carbohydrate metabolism > TCA cycle
SDHC,OXPHOS > Complex II > CII subunits | Metabolism > Carbohydrate metabolism > TCA cycle | Metabolism > Metals and cofactors > Heme-containing proteins | OXPHOS > OXPHOS subunits,SDHC,SDHC,SDHC,OXPHOS > Complex II > CII subunits | Metabolism > Carbohydrate metabolism > TCA cycle | Metabolism > Metals and cofactors > Heme-containing proteins | OXPHOS > OXPHOS subunits
